						
	Accessible in game	True Pacifist	Not accessible	TODO		
* Do not try to stop me./			Toriel	Ruins	room_basement3	
* This is your final&  warning./%%			Toriel	Ruins	room_basement3	
flames						
turts						
\E0* Goodbye^1, my child./%%			Toriel	Ruins	room_basement4	
\E2* That is right./			Toriel	Ruins	room_basement4	
* Go upstairs./%%			Toriel	Ruins	room_basement4	
\E2* If you truly wish to&  leave the RUINS.../			Toriel	Ruins	room_basement4	
* I will not stop you./			Toriel	Ruins	room_basement4	
\E2* However^1, when you&  leave.../			Toriel	Ruins	room_basement4	
\E1* Please do not come&  back./			Toriel	Ruins	room_basement4	
\E2* I hope you understand./%%			Toriel	Ruins	room_basement4	
* You want to leave&  so badly?/			Toriel	Ruins	room_basement4	
\E6* Hmph./			Toriel	Ruins	room_basement4	
* You are just like&  the others./			Toriel	Ruins	room_basement4	
\E7* There is only one&  solution to this./			Toriel	Ruins	room_basement4	
* Prove yourself.../			Toriel	Ruins	room_basement4	
* Prove to me you&  are strong enough&  to survive./%%			Toriel	Ruins	room_basement4	
* Prove to me you&  are strong enough&  to survive!/			Toriel	Ruins	room_basement4	
\E6* ... wait./			Toriel	Ruins	room_basement4	
* ... why are you looking&  at me like that?/			Toriel	Ruins	room_basement4	
* Like you have seen&  a ghost./			Toriel	Ruins	room_basement4	
\E7* Do you know something&  that I do not?/			Toriel	Ruins	room_basement4	
* No...&* That is impossible./%%			Toriel	Ruins	room_basement4	
* Prove to me that you&  are.../			Toriel	Ruins	room_basement4	
\E1* Hey^1, let me finish%%			Toriel	Ruins	room_basement4	
* Already?/			Toriel	Ruins	room_basement4	
* What will it take&  for you to learn&  your lesson?/%%			Toriel	Ruins	room_basement4	
* (You noticed there was&  a blue switch behind the&  top pillar.)/%%			Narrator	Ruins	room_ruins15B	
\E1* You have not left&  the room^1, have you?/			Toriel (call)	Ruins	room_ruins7	
* There are a few puzzles&  ahead that I have&  yet to explain./			Toriel (call)	Ruins	room_ruins7	
* It would be dangerous&  to try to solve them&  yourself./			Toriel (call)	Ruins	room_ruins7	
* Hello^1? Hello^1?&* This is TORIEL./			Toriel (call)	Ruins	room_ruins7	
* My apologies^1.&* A strange dog&  kidnapped my phone./			Toriel (call)	Ruins	room_ruins7	
* So if you called^1, I&  could not have helped&  you./			Toriel (call)	Ruins	room_ruins7	
\E0* However^1, I have&  recovered it./			Toriel (call)	Ruins	room_ruins7	
* And you are still in&  that room^1, are you not?/			Toriel (call)	Ruins	room_ruins7	
* What a good child you&  are./			Toriel (call)	Ruins	room_ruins7	
\E1* There are a few puzzles&  ahead that I have&  yet to explain./			Toriel (call)	Ruins	room_ruins7	
\E1* Be good^1, alright?/			Toriel (call)	Ruins	room_ruins7	
\E1* You do not DISLIKE&  butterscotch^1, do you?/			Toriel (call)	Ruins	room_ruins9	
\E1* You do not DISLIKE&  cinnamon^1, do you?/			Toriel (call)	Ruins	room_ruins9	
* I know what your&  preference is^1, but.../			Toriel (call)	Ruins	room_ruins9	
* Would you turn up your&  nose if you found&  it on your plate?/			Toriel (call)	Ruins	room_ruins9	
* Right^1, right^1, I&  understand./			Toriel (call)	Ruins	room_ruins9	
\E0* Thank you for being&  patient^1, by the way./			Toriel (call)	Ruins	room_ruins9	
* Hello?/			Toriel (call)	Ruins	room_ruins9	
\E1* You do not have&  any allergies^1, do&  you?/			Toriel (call)	Ruins	room_ruins9	
* Huh^1?&* Why am I asking?/			Toriel (call)	Ruins	room_ruins9	
\E0* No reason..^1.&* No reason at all./			Toriel (call)	Ruins	room_ruins9	
touch						
\E1* I just realized that it&  has been a while since&  I have cleaned up./			Toriel (call)	Ruins	room_ruins13	
\E0* I was not expecting to&  have company so soon./			Toriel (call)	Ruins	room_ruins13	
* There are probably a lot&  of things lying about&  here and there./			Toriel (call)	Ruins	room_ruins13	
* You can pick them up^1,&  but do not carry more&  than you need./			Toriel (call)	Ruins	room_ruins13	
* Someday you might see&  something you really&  like./			Toriel (call)	Ruins	room_ruins13	
* You will want to leave&  room in your pockets&  for that./			Toriel (call)	Ruins	room_ruins13	
\E1* I have a question./			Toriel (call)	Ruins	room_ruins9	
* You like things other&  than butterscotch or&  cinnamon^1, too.../			Toriel (call)	Ruins	room_ruins9	
* Do you not?/			Toriel (call)	Ruins	room_ruins9	
\E0* ..^1. oh^1, what am I&  asking./			Toriel (call)	Ruins	room_ruins9	
* I will keep looking./%%			Toriel (call)	Ruins	room_ruins9	
push						
pathtravel						
ns						
destroyme						
read						
* You peek inside..^2.&* Scandalous!/			Narrator	Ruins	room_torielroom	
* It's TORIEL's sock drawer./%%			Narrator	Ruins	room_torielroom	
* You can't stop looking&  at the socks./%%			Narrator	Ruins	room_torielroom	
idealvolume						
curvol1						
curvol2						
audio_sound_get_track_position						
crumblebaby						
audio_sound_set_track_position						
jump						
^1, please.../			Asgore	Ruins	room_asrielroom	
* Wake up!/			Asgore	Ruins	room_asrielroom	
* You are the future&  of humans and&  monsters.../%%			Asgore	Ruins	room_asrielroom	
* (It felt strange to lie&  in the bed.)/			Narrator	Ruins	room_asrielroom	
* (It feels entirely too&  small for you now.)/%%			Narrator	Ruins	room_asrielroom	
horizon						
ceiling						
orx						
srx						
* You send the line back out./%%			Narrator	Snowdin	room_tundra3A	
* (Someone's been smoking&  dog treats.)/%%			Narrator	Snowdin	room_tundra5	
* (It's a squeaky chew toy.)/%%			Narrator	Snowdin	room_tundra_garage	
* (It's too small to sleep&  on.)/%%			Narrator	Snowdin	room_tundra_garage	
* (Unfortunately^1, it's just&  dry food.)/%%			Narrator	Snowdin	room_tundra_garage	
* (There's a hot dog cut up&  into the kibble.)/%%			Narrator	Snowdin	room_tundra_garage	
* (It's a lump of snow with the&  word 'sans' written on it&  in red marker.)/%%			Narrator	Snowdin	room_tundra_icehole	
* (It's a snow Papyrus.)/%%			Narrator	Snowdin	room_tundra_icehole	
* (What a tiny doghouse!)/%%			Narrator	Snowdin	room_tundra_poffzone	
* (It must be bigger on the&  inside.)/%%			Narrator	Snowdin	room_tundra_poffzone	
* It's a snow poff./%%			Narrator	Snowdin	room_tundra_poffzone	
* And this..^1.&* Is a snow poff./%%			Narrator	Snowdin	room_tundra_poffzone	
* This^1, however^1, is a snow poff./%%			Narrator	Snowdin	room_tundra_poffzone	
* Surprisingly^1, it's a snow poff./%%			Narrator	Snowdin	room_tundra_poffzone	
* Snow poff.../%%			Narrator	Snowdin	room_tundra_poffzone	
* Is it really a snow poff?/%%			Narrator	Snowdin	room_tundra_poffzone	
* Behold^1!&* A snow poff./%%			Narrator	Snowdin	room_tundra_poffzone	
* What's this called?/%%			Narrator	Snowdin	room_tundra_poffzone	
* Eh^1?&* There's 30 G inside&  this..^1. what is this?/%%			Narrator	Snowdin	room_tundra_poffzone	
* (It looks like a snow ball...)/			Narrator	Snowdin	room_tundra8	
* (Actually^1, it's a&  snowdecahedron.)/%%			Narrator	Snowdin	room_tundra8	
* (It's a snow ball.)/%%			Narrator	Snowdin	room_tundra8	
* (The machine isn't working.)/%%			Narrator	Snowdin	room_tundra_randoblock	
* (It's a plate of frozen&  spaghetti.)/			Narrator	Snowdin	room_tundra_spaghetti	
* (It's so cold^1, it's stuck&  to the table...)/%%			Narrator	Snowdin	room_tundra_spaghetti	
* (It's a plate of lukewarm&  spaghetti.)/			Narrator	Snowdin	room_tundra_spaghetti	
* (Seems like something tried&  eating it and just..^1.)&* (Gave up.)/%%			Narrator	Snowdin	room_tundra_spaghetti	
* (It's an unplugged microwave.)/			Narrator	Snowdin	room_tundra_spaghetti	
"* (All of the settings&  say ""spaghetti."")/%%"			Narrator	Snowdin	room_tundra_spaghetti	
* It's a note from Papyrus.../			Narrator	Snowdin	room_tundra_spaghetti	
HUMAN!^1!&PLEASE ENJOY THIS&SPAGHETTI./			Papyrus (note)	Snowdin	room_tundra_spaghetti	
(LITTLE DO YOU KNOW^1,&THIS SPAGHETTI IS&A TRAP...)/			Papyrus (note)	Snowdin	room_tundra_spaghetti	
(DESIGNED TO ENTICE&YOU!!!)/			Papyrus (note)	Snowdin	room_tundra_spaghetti	
(YOU'LL BE SO BUSY&EATING IT...)/			Papyrus (note)	Snowdin	room_tundra_spaghetti	
(THAT YOU WON'T&REALIZE THAT YOU&AREN'T PROGRESSING!!)/			Papyrus (note)	Snowdin	room_tundra_spaghetti	
(THOROUGHLY JAPED&AGAIN BY THE GREAT&PAPYRUS!!!)/			Papyrus (note)	Snowdin	room_tundra_spaghetti	
 &      NYEH-HEH-HEH^1,&         PAPYRUS/%%			Papyrus (note)	Snowdin	room_tundra_spaghetti	
SEEING AS THIS&SPAGHETTI IS STILL&HERE SOMEHOW.../			Papyrus (note)	Snowdin	room_tundra_spaghetti	
I HEREBY DONATE IT&TO THE PUBLIC./			Papyrus (note)	Snowdin	room_tundra_spaghetti	
IT'S LIKE A&PLAYGROUND FOR&YOUR MOUTH!/			Papyrus (note)	Snowdin	room_tundra_spaghetti	
* It's illegible chicken-&  scratch./%%			Narrator	Snowdin	room_tundra_randoblock	
WHAT!^1?&THAT'S IMPOSSIBLE./%%			Papyrus (note)	Snowdin	room_tundra_garage	
SORRY^1, I HAVE TO LOCK&YOU IN THE GUEST ROOM&UNTIL UNDYNE ARRIVES./			Papyrus (note)	Snowdin	room_tundra_garage	
FEEL FREE TO MAKE&YOURSELF AT HOME!!!/			Papyrus (note)	Snowdin	room_tundra_garage	
REFRESHMENTS AND&ACCOMODATIONS HAVE&BEEN PROVIDED./			Papyrus (note)	Snowdin	room_tundra_garage	
 & - NYEHFULLY YOURS^1,&        PAPYRUS/%%			Papyrus (note)	Snowdin	room_tundra_garage	
PLEASE ASK BEFORE&YOU ESCAPE!!!/			Papyrus (note)	Snowdin	room_tundra_garage	
WHEN YOU WENT&MISSING I GOT&WORRIED SICK!!!/			Papyrus (note)	Snowdin	room_tundra_garage	
  - SLIGHTLY&  BONETROUSLED^1,&  PAPYRUS/%%			Papyrus (note)	Snowdin	room_tundra_garage	
IF YOU'RE JUST&LOOKING FOR A&PLACE TO STAY.../			Papyrus (note)	Snowdin	room_tundra_garage	
JUST ASK!!^1!&YOU DON'T NEED&TO FIGHT ME!!!/			Papyrus (note)	Snowdin	room_tundra_garage	
 & - YOUR HOST^1,&   PAPYRUS/%%			Papyrus (note)	Snowdin	room_tundra_garage	
* (This note is written&  very oddly^1, as if the paper was&  moving while it was written.)/			Narrator	Snowdin	room_tundra5	
* (It says...^1)&* (Out to lunch...?)/%%			Narrator	Snowdin	room_tundra5	
* (Shoot the opposing ship!^1)&* (Move the boxes to complete&  your mission.)/%%			Note	Hotland	room_fire_shootguy_1, room_fire_shootguy_2	
* (Shoot the opposing ship!^1)&* (You have just one shot.)/%%			Note	Hotland	room_fire_shootguy_3, room_fire_shootguy_4	
* (Hey^1!)/			Note	Hotland	room_fire_hotelfront_2	
* (Go up the creepy alleyway&  on the right for some&  great deals!)/%%			Note	Hotland	room_fire_hotelfront_2	
* There's some narration on this&  cardboard box./			Narrator	Snowdin	room_tundra4	
YOU OBSERVE THE&WELL-CRAFTED&SENTRY STATION./			Papyrus (note)	Snowdin	room_tundra4	
WHO COULD HAVE&BUILT THIS^1, YOU&PONDER.../			Papyrus (note)	Snowdin	room_tundra4	
I BET IT WAS&THAT VERY FAMOUS&ROYAL GUARDSMAN!/			Papyrus (note)	Snowdin	room_tundra4	
(NOTE: NOT YET A&VERY FAMOUS&ROYAL GUARDSMAN^1.)/%%			Papyrus (note)	Snowdin	room_tundra4	
(NOTE: NOT YET A&VERY FAMOUS&ROYAL GUARDSMAN^1.)/			Papyrus (note)	Snowdin	room_tundra4	
(UPDATE: AM I A&ROYAL GUARDSMAN&YET???)/%%			Papyrus (note)	Snowdin	room_tundra4	
* These instructions&  are written in&  chicken scratch./%%			Narrator	Snowdin	room_tundra_randoblock	
* It's some sort of checkpoint&  or sentry-station./			Narrator	Snowdin	room_tundra2	
* But there are bottles of&  ketchup^1, mustard^1, and relish&  sitting inside.../%%			Narrator	Snowdin	room_tundra2	
* I don't understand why&  these aren't selling.../			Nice Cream Guy	Snowdin	room_tundra8	
* It's the perfect weather&  for something cold.../%%			Nice Cream Guy	Snowdin	room_tundra8	
* You must have something better to do than read this message./%%			Narrator			
* I relocated my store^1, but&  there are still no&  customers.../%%			Nice Cream Guy	Waterfall	room_water_nicecream	
* I thought for sure if I&  went to Hotland^1, I'd sell&  some Nice Creams./			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* But nobody wants them^1.&* Everyone's just eating&  Starfaits and Glamburgers./			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* So!!!/%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* I'm so happy!^1!&* Nice Cream is really&  changing the world!!/%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* Hey^1!&* It's you again^1!/			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* Business is excellent here^1!&* These two fellas bought&  ALL my ice cream!/			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* I've actually sold out of&  everything!!!/			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* ... sorry./			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* Wait^1!&* I've still got something&  for you!/			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* ... a big smile^1!&* How about that!/%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* I'm so excited to sell&  Nice Cream on the surface!/			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* If all humans are like you^1,&  then...!/			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* ... then I'll still be&  able to sell to monsters^1,&  I hope./%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* If all humans are like you^1,&  I think it'll be a modest&  success!/%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* If all humans are like you^1,&  I think it'll be really&  popular!/%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* OH!!!^1!&* A CUSTOMER!!!/%%			Nice Cream Guy	Snowdin	room_tundra8	
* Fortunately^1, I've thought&  of a solution!!/			Nice Cream Guy	Waterfall	room_water_nicecream	
* Punch cards!!/			Nice Cream Guy	Waterfall	room_water_nicecream	
* Every time you buy a&  Nice Cream^1, you can take a&  punch card from the box./			Nice Cream Guy	Waterfall	room_water_nicecream	
* If you have 3 cards^1, you&  can trade them for a&  free Nice Cream!/			Nice Cream Guy	Waterfall	room_water_nicecream	
* They're sure to get the&  customers to come back!/%%			Nice Cream Guy	Waterfall	room_water_nicecream	
* Anyway.../%%			Nice Cream Guy			
* I'm having a going out of&  business sale./%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
cancel						
nightmare						
fn						
draw_me						
* Oh^1?&* About that piece I gave you?/			Snowman	Snowdin	room_tundra6A	
* ... I never gave you anything./%%			Snowman	Snowdin	room_tundra6A	
* Ah..^1. I can feel that piece&  of me has been well taken&  care of./			Snowman	Snowdin	room_tundra6A	
* Hmmm...^1?&* The barrier's opened up?/			Snowman	Snowdin	room_tundra6A	
* Hmmm..^1.&* Then^1, if it's not too much&  to ask.../			Snowman	Snowdin	room_tundra6A	
* ... could you take that&  piece of me to the surface?/			Snowman	Snowdin	room_tundra6A	
* I would really appreciate&  it./%%			Snowman	Snowdin	room_tundra6A	
* So^1, did you take that&  piece of me very far&  away...?/			Snowman	Snowdin	room_tundra6A	
* Where's the piece!?/%%			Snowman	Snowdin	room_tundra6A	
* Ah^1, the barrier's open...?/			Snowman	Snowdin	room_tundra6A	
* You know I cannot move^1.&* Why are you telling me^1?&* To mock me?/			Snowman	Snowdin	room_tundra6A	
* Everyone may think you are a&  good person^1, but this snowman&  knows the truth./			Snowman	Snowdin	room_tundra6A	
* Someday^1, your friends will&  realize your heart is as&  cold as my butt./%%			Snowman	Snowdin	room_tundra6A	
* (You're carrying too many&  items.)/%%			Narrator	Snowdin	room_tundra6A	
* Hello^1.&* I am a snowman^1.&* I cannot move./			Snowman	Snowdin	room_tundra6A	
* Traveller^1, if you could.../			Snowman	Snowdin	room_tundra6A	
* (You got the Snowman Piece.)/%%			Narrator	Snowdin	room_tundra6A	
* Oh me^1, oh my^1.&* What are you doing?/			Snowman	Snowdin	room_tundra6A	
* Soon there won't be any&  of me left.../			Snowman	Snowdin	room_tundra6A	
* Stop..^1.&* Please.../			Snowman	Snowdin	room_tundra6A	
* (A useless pile of snow.)/%%			Narrator	Snowdin	room_tundra6A	
* Seems like the base of a&  snowdog./%%			Narrator	Snowdin	room_tundra_lesserdog	
* It's a pile of mushy snow./%%			Narrator	Snowdin	room_tundra_lesserdog	
* This dog is staring blankly&  into the snow^1, waiting for&  it to turn into art./%%			Narrator	Snowdin	room_tundra_lesserdog	
* It's the broken head of&  a snowdog./%%			Narrator	Snowdin	room_tundra_lesserdog	
noke						
man						
fog_alpha						
fog_x						
fog_r						
tfr						
poffed						
vic						
xplot						
justdoit						
finaly						
sd_noise						
snap						
broken						
* (It's a tough-looking branch.)&* (It's too heavy to pick up.)/%%			Narrator	Snowdin	room_tundra2	
* (It's been smashed like it&  was nothing...)/%%			Narrator	Snowdin	room_tundra2	
gert						
snowx						
snowy						
dodraw						
moveme						
xcurrent						
* Just a conveniently-shaped&  lamp./%%			Narrator	Snowdin	room_tundra2	
* actually^1, hey..^1.&* hate to bother ya^1, but&  can you do me a favor?/			Sans	Snowdin	room_tundra2	
* i was thinking..^1.&* my brother's been&  kind of down lately.../			Sans	Snowdin	room_tundra2	
* he's never seen a human&  before^1. and seeing you&  might just make his day./			Sans	Snowdin	room_tundra2	
* don't worry^1, he's not&  dangerous./			Sans	Snowdin	room_tundra2	
\E1* even if he tries to be./			Sans	Snowdin	room_tundra2	
\E0* thanks a million^1.&* i'll be up ahead./%%			Sans	Snowdin	room_tundra2	
\E0* well^1, i'll be straight-&  forward with you./			Sans	Snowdin	room_tundra2	
\E1* my brother'd really&  like to see a human.../			Sans	Snowdin	room_tundra2	
\E2* so^1, y'know^1, it'd&  really help me out.../			Sans	Snowdin	room_tundra2	
\E1* if you kept pretending&  to be one./%%			Sans	Snowdin	room_tundra2	
look						
spinagain						
SO^1, AS I&WAS SAYING&ABOUT UNDYNE,/%%			Papyrus	Snowdin	room_tundra4	
\E2SO SANS^1!&WHEN'S THE HUMAN&SHOWING UP???/			Papyrus	Snowdin	room_tundra4	
\E3I WANT TO LOOK&MY SUNDAY BEST.../			Papyrus	Snowdin	room_tundra4	
\E0OR AT LEAST MY&TUESDAY&PRETTY-GOOD./			Papyrus	Snowdin	room_tundra4	
\E1* don't you only have&  one outfit?/			Sans	Snowdin	room_tundra4	
\E2YEAH^1, BUT I COULD&STYLE MY HAIR!/			Papyrus	Snowdin	room_tundra4	
\E0* oh^1. right^1.&* good idea./			Sans	Snowdin	room_tundra4	
\E1* say^1, why don't you&  look over there?/%%			Sans	Snowdin	room_tundra4	
xxblcon						
SANS!!&OH MY GOD!!&IS THAT.../			Papyrus	Snowdin	room_tundra4	
A HUMAN!?!?&!??!?!/%%			Papyrus	Snowdin	room_tundra4	
A HUMAN!?!?&!??!?!/			Papyrus	Snowdin	room_tundra4	
